"Product ID",SKU,"Matrix ID","Product Code",Name,Description,"Description HTML","Stock Type","Stock Level","Price (RRP)","Trade Price",Categories,Brand,"Product Range",Material,Size,Height,Length,Width,Weight,Colour,Image,"Created At","Updated At","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6","Image 7","Image 8","Image 9","Image 10"
88,BASODETTABLACKL/XL,1597,basodetta,"Bassaya Odetta BlackL/XL","Gorgeous black babydoll with an opaque lace bust. Waterfall style split to the side. Available in black. All products come packaged in their own branded boxes.","<p>Gorgeous black babydoll with an opaque lace bust. Waterfall style split to the side. Available in black. All products come packaged in their own branded boxes.</p>",Discontinued,green,19.9900,9.2800,Bassaya,Bassaya,"Bassaya Odetta","61% Polyester/34% Poliamid/4% Elastan/1% Cotton",L/XL,4.2,21,15,0.1500,Black,https://www.alterego-lingerie.com/media/catalog/product/b/a/basodetta.jpg,"2016-02-12 11:00:57","2017-09-15 16:56:13",https://www.alterego-lingerie.com/media/catalog/product/b/a/basodetta.jpg,,,,,,,,,
90,BASPOLAL/XL,1599,baspola,"Bassaya Pola BlackL/XL","Raunchy leather look mini dress with push up cups and see through black tulle panels down the sides. Available in black. All products come packaged in their own branded boxes.","<p>Raunchy leather look mini dress with push up cups and see through black tulle panels down the sides. Available in black. All products come packaged in their own branded boxes.</p>",Discontinued,green,34.9900,15.8700,Bassaya,Bassaya,"Bassaya Pola","80% Polyester/20% Elastane",L/XL,4.2,21,15,0.1200,Black,https://www.alterego-lingerie.com/media/catalog/product/b/a/baspola.jpg,"2016-02-12 11:00:57","2017-10-27 15:33:32",https://www.alterego-lingerie.com/media/catalog/product/b/a/baspola.jpg,,,,,,,,,
108,PASATHENATHONGWHITEL/XL,1623,pasathtw,"PASSION Athena Thong White L/XL","Beautiful thong with intricate embroidery across the front. Available in white (black version also available). All products come packaged in their own branded boxes.","<p>Beautiful thong with intricate embroidery across the front. Available in white (black version also available). All products come packaged in their own branded boxes.</p>",Discontinued,green,9.9900,4.3100,Passion,Passion,"Passion Athena Thong White","90% Polyester/10% Elastane",L/XL,2,21,15,0.0600,White,"https://www.alterego-lingerie.com/media/catalog/product/p/a/pasathenathong_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasathenathong_white.jpg","2016-02-12 11:00:57","2017-09-15 16:56:04",https://www.alterego-lingerie.com/media/catalog/product/p/a/pasathenathong_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasathenathong_white.jpg,,,,,,,,
110,PASATHENATHONGBLACKL/XL,1625,pasathtb,"PASSION Athena Thong Black L/XL (O/W 25.10.16)","Beautiful thong with intricate embroidery across the front. Available in black (white version also available). All products come packaged in their own branded boxes.","<p>Beautiful thong with intricate embroidery across the front. Available in black (white version also available). All products come packaged in their own branded boxes.</p>",Discontinued,amber,9.9900,4.3100,Passion,Passion,"Passion Athena Thong Black","90% Polyester/10% Elastane",L/XL,2,21,15,0.0600,Black,"https://www.alterego-lingerie.com/media/catalog/product/p/a/pasathenathong_black.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasathenathong_black.jpg","2016-02-12 11:00:57","2017-09-15 16:55:10",https://www.alterego-lingerie.com/media/catalog/product/p/a/pasathenathong_black.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasathenathong_black.jpg,,,,,,,,
127,PASAMADIBLACKL/XL,1651,pasamadi,"Passion Amadi Black L/XL (D)","Amadi is a pretty thong in black with detailing to the front. Available in black and in two sizes. All products come packaged in their own branded boxes.","<p>Amadi is a pretty thong in black with detailing to the front. Available in black and in two sizes. All products come packaged in their own branded boxes.</p>",Discontinued,green,4.9900,2.3100,Passion,Passion,"Passion Amadi","87% Polyamid/13% Elastane",L/XL,2,21,15,0.0700,Black,"https://www.alterego-lingerie.com/media/catalog/product/p/a/pasamadi_black.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasamadi_black.jpg","2016-02-12 11:00:58","2017-09-15 16:56:15",https://www.alterego-lingerie.com/media/catalog/product/p/a/pasamadi_black.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasamadi_black.jpg,,,,,,,,
129,PASAMELIEBLACKL/XL,1653,pasameli,"Passion Amelie BlackL/XL","Amelie is a pretty thong in black with detailing at the back. Available in black and in two sizes. All products come packaged in their own branded boxes.","<p>Amelie is a pretty thong in black with detailing at the back. Available in black and in two sizes. All products come packaged in their own branded boxes.</p>",Discontinued,green,4.9900,2.3100,Passion,Passion,"Passion Amelie","100% Polyester",L/XL,2,21,15,0.0600,Black,"https://www.alterego-lingerie.com/media/catalog/product/p/a/pasamelie.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasamelie.jpg","2016-02-12 11:00:58","2017-09-15 16:56:11",https://www.alterego-lingerie.com/media/catalog/product/p/a/pasamelie.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasamelie.jpg,,,,,,,,
130,PASAMELIEBLACKS/M,1654,pasameli,"Passion Amelie Black S/M (D)","Amelie is a pretty thong in black with detailing at the back. Available in black and in two sizes. All products come packaged in their own branded boxes.","<p>Amelie is a pretty thong in black with detailing at the back. Available in black and in two sizes. All products come packaged in their own branded boxes.</p>",Discontinued,green,4.9900,2.3100,Passion,Passion,"Passion Amelie","100% Polyester",S/M,2,21,15,0.0600,Black,"https://www.alterego-lingerie.com/media/catalog/product/p/a/pasamelie.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasamelie.jpg","2016-02-12 11:00:58","2017-09-15 16:56:14",https://www.alterego-lingerie.com/media/catalog/product/p/a/pasamelie.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasamelie.jpg,,,,,,,,
131,PASBESWHITEL/XL,1656,pasbeswht,"Passion Bes White WhiteL/XL","Raunchy wet leather look corset set. Front lace up corset and matching string. Available in white (black version also available). All products come packaged in their own branded boxes.","<p>Raunchy wet leather look corset set. Front lace up corset and matching string. Available in white (black version also available). All products come packaged in their own branded boxes.</p>",Discontinued,green,28.9900,13.0200,Passion,Passion,"Passion Bes White","100% shiny polyamide fibre",L/XL,2,61,15,0.1300,White,"https://www.alterego-lingerie.com/media/catalog/product/p/a/pasbes_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasbes_white.jpg","2016-02-12 11:00:58","2017-09-15 16:56:11",https://www.alterego-lingerie.com/media/catalog/product/p/a/pasbes_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasbes_white.jpg,,,,,,,,
132,PASBESWHITES/M,1657,pasbeswht,"PASSION Bes White S/M","Raunchy wet leather look corset set. Front lace up corset and matching string. Available in white (black version also available). All products come packaged in their own branded boxes.","<p>Raunchy wet leather look corset set. Front lace up corset and matching string. Available in white (black version also available). All products come packaged in their own branded boxes.</p>",Discontinued,red,28.9900,13.0200,Passion,Passion,"Passion Bes White","100% shiny polyamide fibre",S/M,2,61,15,0.1300,White,"https://www.alterego-lingerie.com/media/catalog/product/p/a/pasbes_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasbes_white.jpg","2016-02-12 11:00:58","2017-09-15 16:55:57",https://www.alterego-lingerie.com/media/catalog/product/p/a/pasbes_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasbes_white.jpg,,,,,,,,
143,PASCHICCABLACKL/XL,1676,paschiccab,"PASSION Chicca Black L/XL","Seductive and playful lace ribbon-tie panties. Available in black (white and red versions also available). All products come packaged in their own branded boxes.","Seductive and playful lace ribbon-tie panties. Available in black (white and red versions also available). All products come packaged in their own branded boxes.",Discontinued,green,4.9900,2.4900,Passion,Passion,"Passion Chicca Black","90% Polyester/10% Elastane",L/XL,4,14,10,0.0600,Black,https://www.alterego-lingerie.com/media/catalog/product/p/a/pashicca_black.jpg,"2016-02-12 11:00:58","2017-10-09 11:26:01",https://www.alterego-lingerie.com/media/catalog/product/p/a/pashicca_black.jpg,,,,,,,,,
144,PASCHICCABLACKS/M,1677,paschiccab,"PASSION Chicca Black S/M","Seductive and playful lace ribbon-tie panties. Available in black (white and red versions also available). All products come packaged in their own branded boxes.","Seductive and playful lace ribbon-tie panties. Available in black (white and red versions also available). All products come packaged in their own branded boxes.",Discontinued,green,4.9900,2.4900,Passion,Passion,"Passion Chicca Black","90% Polyester/10% Elastane",S/M,4,14,10,0.0600,Black,https://www.alterego-lingerie.com/media/catalog/product/p/a/pashicca_black.jpg,"2016-02-12 11:00:58","2017-10-09 11:26:02",https://www.alterego-lingerie.com/media/catalog/product/p/a/pashicca_black.jpg,,,,,,,,,
145,PASCHICCAREDL/XL,1678,paschiccar,"PASSION Chicca Red L/XL","Seductive and playful lace ribbon-tie panties. Available in red (white and black versions also available). All products come packaged in their own branded boxes.","Seductive and playful lace ribbon-tie panties. Available in red (white and black versions also available). All products come packaged in their own branded boxes.",Discontinued,red,4.9900,2.4900,Passion,Passion,"Passion Chicca Red","90% Polyester/10% Elastane",L/XL,4,14,10,0.0600,Red,https://www.alterego-lingerie.com/media/catalog/product/p/a/pashicca_red.jpg,"2016-02-12 11:00:58","2017-10-09 11:24:14",https://www.alterego-lingerie.com/media/catalog/product/p/a/pashicca_red.jpg,,,,,,,,,
146,PASCHICCAREDS/M,1679,paschiccar,"PASSION Chicca Red S/M","Seductive and playful lace ribbon-tie panties. Available in red (white and black versions also available). All products come packaged in their own branded boxes.","Seductive and playful lace ribbon-tie panties. Available in red (white and black versions also available). All products come packaged in their own branded boxes.",Discontinued,red,4.9900,2.4900,Passion,Passion,"Passion Chicca Red","90% Polyester/10% Elastane",S/M,4,14,10,0.0600,Red,https://www.alterego-lingerie.com/media/catalog/product/p/a/pashicca_red.jpg,"2016-02-12 11:00:58","2017-10-09 11:24:16",https://www.alterego-lingerie.com/media/catalog/product/p/a/pashicca_red.jpg,,,,,,,,,
147,PASCHICCAWHITEL/XL,1680,paschiccaw,"PASSION Chicca White L/XL","Seductive and playful lace ribbon-tie panties. Available in white (black and red versions also available). All products come packaged in their own branded boxes.","Seductive and playful lace ribbon-tie panties. Available in white (black and red versions also available). All products come packaged in their own branded boxes.",Discontinued,green,4.9900,2.4900,"Clearance,Passion,Briefs & Thongs,Briefs",Passion,"Passion Chicca White","90% Polyester/10% Elastane",L/XL,4,14,10,0.0600,White,https://www.alterego-lingerie.com/media/catalog/product/p/a/pashicca_white.jpg,"2016-02-12 11:00:58","2017-09-21 09:35:19",https://www.alterego-lingerie.com/media/catalog/product/p/a/pashicca_white.jpg,,,,,,,,,
148,PASCHICCAWHITES/M,1681,paschiccaw,"Passion Chicca White WhiteS/M","Seductive and playful lace ribbon-tie panties. Available in white (black and red versions also available). All products come packaged in their own branded boxes.","Seductive and playful lace ribbon-tie panties. Available in white (black and red versions also available). All products come packaged in their own branded boxes.",Discontinued,red,4.9900,2.4900,"Clearance,Passion,Briefs & Thongs,Briefs",Passion,"Passion Chicca White","90% Polyester/10% Elastane",S/M,4,14,10,0.0600,White,https://www.alterego-lingerie.com/media/catalog/product/p/a/pashicca_white.jpg,"2016-02-12 11:00:58","2017-09-26 15:21:48",https://www.alterego-lingerie.com/media/catalog/product/p/a/pashicca_white.jpg,,,,,,,,,
149,PASCHICABELLABLACKL/XL,1682,paschicabb,"PASSION Chica Bella Black L/XL","Seductive and playful ribbon-tie panties. Available in black (white and red versions also available). All products come packaged in their own branded boxes.","<p>Seductive and playful ribbon-tie panties. Available in black (white and red versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,green,9.9900,4.5500,Passion,Passion,"Passion Chica Bella Black","90% Polyester/10% Elastane",L/XL,4,14,10,0.0600,Black,"https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg","2016-02-12 11:00:58","2017-09-15 16:56:17",https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,,,,,,,,
150,PASCHICABELLABLACKS/M,1683,paschicabb,"PASSION Chica Bella Black S/M","Seductive and playful ribbon-tie panties. Available in black (white and red versions also available). All products come packaged in their own branded boxes.","<p>Seductive and playful ribbon-tie panties. Available in black (white and red versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,green,9.9900,4.5500,Passion,Passion,"Passion Chica Bella Black","90% Polyester/10% Elastane",S/M,4,14,10,0.0600,Black,"https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg","2016-02-12 11:00:58","2017-09-15 16:56:17",https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,,,,,,,,
151,PASCHICABELLAREDL/XL,1684,paschicabr,"Passion Chica Bella Red RedL/XL","Seductive and playful ribbon-tie panties. Available in red (white and black versions also available). All products come packaged in their own branded boxes.","<p>Seductive and playful ribbon-tie panties. Available in red (white and black versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,green,9.9900,4.5500,Passion,Passion,"Passion Chica Bella Red","90% Polyester/10% Elastane",L/XL,4,14,10,0.0600,Red,https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,"2016-02-12 11:00:58","2017-09-15 16:56:04",https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,,,,,,,,,
153,PASCHICABELLAWHITEL/XL,1686,paschicabw,"Passion Chica Bella White WhiteL/XL","Seductive and playful ribbon-tie panties. Available in white (black and red versions also available). All products come packaged in their own branded boxes.","<p>Seductive and playful ribbon-tie panties. Available in white (black and red versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,green,9.9900,4.5500,Passion,Passion,"Passion Chica Bella White","90% Polyester/10% Elastane",L/XL,4,14,10,0.0600,White,"https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg","2016-02-12 11:00:58","2017-09-15 16:56:12",https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,,,,,,,,
154,PASCHICABELLAWHITES/M,1687,paschicabw,"PASSION Chica Bella White S/M","Seductive and playful ribbon-tie panties. Available in white (black and red versions also available). All products come packaged in their own branded boxes.","<p>Seductive and playful ribbon-tie panties. Available in white (black and red versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,green,9.9900,4.5500,Passion,Passion,"Passion Chica Bella White","90% Polyester/10% Elastane",S/M,4,14,10,0.0600,White,"https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg","2016-02-12 11:00:58","2017-09-15 16:56:15",https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/paschicabella_red_white.jpg,,,,,,,,
169,PASFEMIWHITEL/XL,1722,pasfemiwht,"PASSION Femi White L/XL","Raunchy wet leather look dress with halter neck and sexy open front. Available in white (also in black). All products come packaged in their own branded boxes.","<p>Raunchy wet leather look dress with halter neck and sexy open front. Available in white (also in black). All products come packaged in their own branded boxes.</p>",Discontinued,amber,26.9900,12.4100,Passion,Passion,"Passion Femi White","100% shiny polyamide fibre",L/XL,4,21,15,0.1800,White,"https://www.alterego-lingerie.com/media/catalog/product/p/a/pasfemi_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasfemi_white.jpg","2016-02-12 11:00:59","2017-09-15 16:55:11",https://www.alterego-lingerie.com/media/catalog/product/p/a/pasfemi_white.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasfemi_white.jpg,,,,,,,,
174,PASFLOWERYBLACKS/M,1727,pasflowblk,"Passion Flowery Black BlackS/M","Gorgeous floral lace figure hugging mini dress with lace-up bust. With matching string. Available in black (white and pink versions also available). All products come packaged in their own branded boxes.","<p>Gorgeous floral lace figure hugging mini dress with lace-up bust. With matching string. Available in black (white and pink versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,green,16.9900,7.7300,Passion,Passion,"Passion Flowery Black","90% Polyester/10% Elastane",S/M,2,21,15,0.1100,Black,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasflowery_black_rose.jpg,"2016-02-12 11:00:59","2017-09-15 16:55:48",https://www.alterego-lingerie.com/media/catalog/product/p/a/pasflowery_black_rose.jpg,,,,,,,,,
185,PASHANACHEMISEBLACKL/XL,1749,pashanachblk,"Passion Hana Chemise Black BlackL/XL","Sumptuous figure hugging chemise in black stretchy material with sexy see through floral lace panel to the front and bust. Available in black. All products come packaged in their own branded boxes.","Sumptuous figure hugging chemise in black stretchy material with sexy see through floral lace panel to the front and bust. Available in black. All products come packaged in their own branded boxes.",Discontinued,green,24.9900,12.3500,Passion,Passion,"Passion Hana Chemise Black","70% Polyester/30% Poliamid",L/XL,4,21,15,0.1500,Black,https://www.alterego-lingerie.com/media/catalog/product/p/a/pashana_chemise_black.jpg,"2016-02-12 11:00:59","2017-09-15 16:56:14",https://www.alterego-lingerie.com/media/catalog/product/p/a/pashana_chemise_black.jpg,,,,,,,,,
186,PASHANACHEMISEBLACKS/M,1750,pashanachblk,"Passion Hana Chemise Black BlackS/M","Sumptuous figure hugging chemise in black stretchy material with sexy see through floral lace panel to the front and bust. Available in black. All products come packaged in their own branded boxes.","Sumptuous figure hugging chemise in black stretchy material with sexy see through floral lace panel to the front and bust. Available in black. All products come packaged in their own branded boxes.",Discontinued,green,24.9900,12.3500,Passion,Passion,"Passion Hana Chemise Black","70% Polyester/30% Poliamid",S/M,4,21,15,0.1500,Black,https://www.alterego-lingerie.com/media/catalog/product/p/a/pashana_chemise_black.jpg,"2016-02-12 11:00:59","2017-09-15 16:56:16",https://www.alterego-lingerie.com/media/catalog/product/p/a/pashana_chemise_black.jpg,,,,,,,,,
201,PASIVYWHITES/M,1771,pasivywht,"Passion Ivy White WhiteS/M","Stunningly unique design. This is a very playful outfit designed to tempt and excite! Delicate tulle ribbon which cleverly wraps around the figure, tying at the lower back to join the brief. Available in white (black and red versions also available). All products come packaged in their own branded boxes.","<p>Stunningly unique design. This is a very playful outfit designed to tempt and excite! Delicate tulle ribbon which cleverly wraps around the figure, tying at the lower back to join the brief. Available in white (black and red versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,amber,12.9900,6.0000,Passion,Passion,"Passion Ivy White","90% Polyester/10% Elastane",S/M,2,1,15,0.0700,White,https://www.alterego-lingerie.com/media/catalog/product/p/a/pasivy_white.jpg,"2016-02-12 11:01:00","2017-09-15 16:55:11",https://www.alterego-lingerie.com/media/catalog/product/p/a/pasivy_white.jpg,,,,,,,,,
204,PASKALYPSOSETBLACKL/XL,1780,paskalstblk,"PASSION Kalypso Set Black L/XL","Pretty top and panties set with black lace edging. Available in black. All products come packaged in their own branded boxes.","<p>Pretty top and panties set with black lace edging. Available in black. All products come packaged in their own branded boxes.</p>",Discontinued,green,19.9900,9.5800,Passion,Passion,"Passion Kalypso Set Black","70% Polyester/30% Poliamid",L/XL,4,21,15,0.1300,Black,"https://www.alterego-lingerie.com/media/catalog/product/p/a/paskalypso_set_black.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/paskalypso_set_black.jpg","2016-02-12 11:01:00","2017-09-15 16:56:04",https://www.alterego-lingerie.com/media/catalog/product/p/a/paskalypso_set_black.jpg,https://www.alterego-lingerie.com/media/catalog/product/p/a/paskalypso_set_black.jpg,,,,,,,,
208,PASKALYPSOSETPINKL/XL,1784,paskalstpnk,"Passion Kalypso Set Pink PinkL/XL","Pretty top and panties set with black lace edging. Available in pink. All products come packaged in their own branded boxes.","<p>Pretty top and panties set with black lace edging. Available in pink. All products come packaged in their own branded boxes.</p>","Stock Line",red,19.9900,9.5800,Passion,Passion,"Passion Kalypso Set Pink","70% Polyester/30% Poliamid",L/XL,4,21,15,0.1300,Pink,https://www.alterego-lingerie.com/media/catalog/product/p/a/paskalypso_set_pink.jpg,"2016-02-12 11:01:00","2017-12-13 15:46:47",https://www.alterego-lingerie.com/media/catalog/product/p/a/paskalypso_set_pink.jpg,,,,,,,,,
